storm_id,storm_name,landfall_datetime,latitude,longitude,max_wind_kt
AL031935,UNNAMED,1935-09-04T22:07:20.631894,29.618359662258456,-83.4,84.3880112580515
AL071935,UNNAMED,1935-11-04T18:06:28.823640,25.896399781112958,-80.12160131332223,84.72998358347205
AL071935,UNNAMED,1935-11-05T00:15:14.015724,25.69576844572452,-81.33808398847931,69.78842228622604
AL051936,UNNAMED,1936-07-31T13:57:34.144094,30.393922670571914,-86.59797422352396,90.0
AL021939,UNNAMED,1939-08-11T22:45:23.880993,27.175663360919028,-80.15619404965425,65.0
AL021939,UNNAMED,1939-08-13T05:44:53.257766,30.374812715712462,-86.3664169542833,65.0
AL051941,UNNAMED,1941-10-06T09:55:03.076850,25.491752134712414,-80.17731837045913,85.0
AL051941,UNNAMED,1941-10-06T11:04:08.692057,25.513816225385415,-80.33454056346353,84.30918873072926
AL051941,UNNAMED,1941-10-07T08:34:01.887324,29.79901121543057,-84.6,80.0
AL051941,UNNAMED,1941-10-07T08:54:17.196043,29.877781225010416,-84.6,80.0
AL131944,UNNAMED,1944-10-19T06:58:05.550891,27.19046257428718,-82.50317914190427,90.0
AL011945,UNNAMED,1945-06-24T08:13:23.994641,28.622333184466022,-82.66091692718447,68.88334077669911
AL091945,UNNAMED,1945-09-15T19:25:18.535469,25.289575387751942,-80.28436308162792,115.0
AL091945,UNNAMED,1945-09-15T19:41:20.923915,25.337829106382976,-80.33782910638298,115.0
AL061946,UNNAMED,1946-10-08T01:37:32.479441,27.40642218343195,-82.65614668994083,75.0
AL061946,UNNAMED,1946-10-08T03:41:53.747822,27.967022403054585,-82.55754341790413,70.75434179041287
AL041947,UNNAMED,1947-09-17T16:31:23.010615,26.1,-80.10461170085418,114.84627663819387
AL041947,UNNAMED,1947-09-18T04:33:13.965927,26.42769397121083,-82.0589799040361,86.20510047981952
AL091947,UNNAMED,1947-10-12T02:15:06.463198,25.425179533275593,-81.15593581676771,79.37051166811011
AL081948,UNNAMED,1948-09-21T16:53:44.795410,24.587493180327872,-81.60208446994535,105.0
AL081948,UNNAMED,1948-09-22T03:50:41.776734,25.707595038544017,-81.323101240364,115.0
AL091948,UNNAMED,1948-10-05T20:06:33.255112,25.11911656794428,-80.88088343205573,89.72690617222459
AL091948,UNNAMED,1948-10-05T20:23:48.606124,25.16944613104979,-80.83055386895022,89.00791241357447
AL021949,UNNAMED,1949-08-26T23:21:49.264181,26.6,-80.03636844947195,115.0
AL021949,UNNAMED,1949-08-27T17:42:05.781778,29.055240907396538,-82.77016060493102,65.0
AL051950,EASY,1950-09-05T16:35:14.115699,29.075235261652846,-82.81650982556476,105.0
AL051950,EASY,1950-09-05T18:36:38.228483,29.059292065134397,-82.8,103.98230162835989
AL051950,EASY,1950-09-06T04:36:37.728696,28.469475990335418,-82.66947599033541,85.42139855031243
AL111950,KING,1950-10-18T05:11:32.153525,25.738452973630828,-80.21922648681542,115.0
AL091953,FLORENCE,1953-09-26T15:15:40.590933,30.33483670122464,-86.19129082469384,79.12908246938402
AL121953,HAZEL,1953-10-09T14:50:20.344518,26.673164098055295,-82.25903898427835,75.0
AL121953,HAZEL,1953-10-09T15:12:21.078291,26.7,-82.17941449192675,75.0
AL121953,HAZEL,1953-10-09T16:03:03.346569,26.710185920486552,-82.08217463914853,74.74535198783624
AL071956,FLOSSY,1956-09-24T23:47:42.984797,30.38293946288386,-86.44094528907874,80.0
AL051960,DONNA,1960-09-10T15:52:39.887570,25.881661982093235,-81.59083099104662,105.30563363177939
AL051964,CLEO,1964-08-27T08:51:43.700498,25.907767378404035,-80.1215534756808,91.766978647879
AL061964,DORA,1964-09-10T05:47:11.694165,29.896443028540837,-81.27510119978588,94.82215142704202
AL111964,ISBELL,1964-10-14T20:55:53.182456,25.78400256658083,-81.41371208578786,90.1142673815655
AL031965,BETSY,1965-09-08T11:16:42.019053,25.0,-80.52783386259541,100.0
AL031965,BETSY,1965-09-08T12:04:29.070095,25.002491389768373,-80.6174397283786,100.0
AL011966,ALMA,1966-06-09T20:54:29.240457,30.084687058203126,-84.20918776507813,75.0
AL011966,ALMA,1966-06-09T21:02:26.808519,30.104078014420086,-84.19728132371995,74.79609927899583
AL091966,INEZ,1966-10-04T18:15:38.126432,24.984364559470325,-80.54169450807913,85.0
AL091966,INEZ,1966-10-04T18:33:57.920769,24.96603465384862,-80.59057425640367,85.0
AL091966,INEZ,1966-10-04T23:08:01.868465,24.686614764862462,-81.31338523513753,85.0
AL091966,INEZ,1966-10-05T00:52:54.616882,24.6,-81.57636760457163,85.0
AL141968,GLADYS,1968-10-19T04:04:32.560563,28.70378556337527,-82.69242887324947,84.81072183123662
AL131975,ELOISE,1975-09-23T12:20:01.886088,30.355800048468062,-86.26661427532827,106.9396419050916
AL091979,DAVID,1979-09-03T17:15:44.357073,27.089348211355485,-80.12623214090365,85.0
AL091979,DAVID,1979-09-04T02:01:27.771477,28.371136510379024,-80.60121904828519,85.0
AL131985,KATE,1985-11-21T22:13:59.457355,29.95256579530499,-85.44150492910813,85.0
AL131987,FLOYD,1987-10-12T16:40:22.149297,24.545162245736293,-81.80967550852742,65.0
AL131987,FLOYD,1987-10-12T20:17:04.011591,25.00459302190033,-80.73851744524919,65.0
AL131987,FLOYD,1987-10-12T20:26:45.435700,25.026127248130525,-80.68468187967369,65.0
AL131987,FLOYD,1987-10-12T20:29:58.693358,25.033284939183986,-80.66678765204003,65.0
AL131987,FLOYD,1987-10-12T20:40:11.415647,25.055978357295054,-80.61005410676236,65.0
AL131987,FLOYD,1987-10-12T21:00:46.491890,25.100860960933638,-80.49741711719909,64.9784759766591
AL131987,FLOYD,1987-10-12T21:18:07.369177,25.120136466243597,-80.43959060126922,64.49658834391013
AL041992,ANDREW,1992-08-24T08:36:05.968904,25.49756217608033,-80.17805958472297,144.63432641204952
AL041992,ANDREW,1992-08-24T09:11:29.062665,25.50370535871584,-80.33334822844256,143.8883923852479
AL051995,ERIN,1995-08-02T05:50:30.387227,27.67890323063857,-80.3630806536175,75.0
AL051995,ERIN,1995-08-02T06:31:56.529433,27.724553851047855,-80.37857232335314,73.77230744760716
AL051995,ERIN,1995-08-03T16:08:00.178003,30.320007416804174,-87.22000741680418,74.3330861065275
AL171995,OPAL,1995-10-04T22:07:08.112371,30.341622036028753,-87.08216198455911,98.81079897060715
AL051998,EARL,1998-09-03T05:59:43.546801,30.099466794463776,-85.70083789441408,70.00761722194612
AL071998,GEORGES,1998-09-25T16:19:55.117796,24.533279086626663,-81.99967451975998,90.0
AL071998,GEORGES,1998-09-25T16:48:15.427903,24.552171421146554,-82.11302852687932,90.0
AL071998,GEORGES,1998-09-25T17:00:40.445151,24.5604493905614,-82.1626963433684,90.0
AL131999,IRENE,1999-10-15T12:55:09.752336,24.583875129770995,-81.616124870229,65.0
AL131999,IRENE,1999-10-15T19:16:56.774838,25.228243745499906,-81.1717562545001,68.20609363749756
AL032004,CHARLEY,2004-08-13T19:39:42.138543,26.574772900202365,-82.21009083991906,129.74772900202362
AL032004,CHARLEY,2004-08-13T20:00:43.146017,26.67859550143816,-82.17380149952061,128.69007497603064
AL032004,CHARLEY,2004-08-13T20:46:38.925089,26.910146162934904,-82.09577243211045,124.57724321104561
AL032004,CHARLEY,2004-08-13T20:54:25.707764,26.95802130911077,-82.07582445453717,122.58244545371784
AL062004,FRANCES,2004-09-05T04:16:39.461733,27.190116811518322,-80.1604672460733,90.24707971204192
AL112004,JEANNE,2004-09-26T03:48:52.014750,27.195361213539346,-80.16288970831476,105.0
AL042005,DENNIS,2005-07-10T19:19:40.383119,30.34262806656961,-87.07705122662784,105.57371933430387
AL122005,KATRINA,2005-08-25T22:37:32.744215,25.991615847874716,-80.11676830425056,70.0
AL252005,WILMA,2005-10-24T10:27:55.067243,25.893059291252847,-81.71079665805112,105.03855949303973
AL092016,HERMINE,2016-09-02T05:27:21.235294,30.091179738529846,-84.10561289366282,70.0
AL112017,IRMA,2017-09-10T12:45:51.482668,24.652860148234115,-81.5,115.0
AL112017,IRMA,2017-09-10T19:21:46.183408,25.872565744872272,-81.7,100.0
AL142018,MICHAEL,2018-10-10T17:23:07.504782,29.979166908176698,-85.51666647345864,139.68750362265047
AL092022,IAN,2022-09-28T18:46:18.009840,26.671231021526218,-82.25753795694757,131.4384489236892
AL092022,IAN,2022-09-28T20:08:00.866125,26.770016039355006,-82.05996792128998,126.49919803224955
AL172022,NICOLE,2022-11-10T07:53:04.349179,27.612662723645414,-80.34115385184758,64.68343190886475
